,웹툰 제목,회차 제목,회차,등록일,조회수,회차별 별점
0,블랙펄                ,00. 추억,1,2018.12.27,70565,9.69
1,블랙펄                ,01. 휴식방해,2,2019.01.30,57297,9.55
2,블랙펄                ,02. The Irony of Fate,3,2019.02.06,42656,9.58
3,블랙펄                ,03. 삼자대면,4,2019.02.13,38959,9.51
4,블랙펄                ,04. 충돌,5,2019.02.20,35878,9.52
5,두번째 나에게                ,1화,6,2021.03.15,10686,9.41
6,두번째 나에게                ,2화,7,2021.03.22,6040,9.6
7,두번째 나에게                ,3화,8,2021.03.29,5049,9.75
8,두번째 나에게                ,4화,9,2021.04.05,4860,9.46
9,두번째 나에게                ,5화,10,2021.04.12,4763,9.85
10,외국 in 한국                ,Butter on My Passport (버터묻은 여권),11,2013.01.28,136051,9.85
11,외국 in 한국                ,Love Motel (러브 모텔),12,2013.01.30,97327,9.86
12,외국 in 한국                ,First Day Nerves (첫날의 긴장감),13,2013.02.01,78829,9.88
13,외국 in 한국                ,Any Questions? (질문 있어요?),14,2013.02.04,71058,9.88
14,외국 in 한국                ,Pride (자랑스러움),15,2013.02.06,67435,9.89
15,사는 게 이게 모양?!                ,첫 번째 이야기 : 모양이 집사들을 소개합니다!,16,2019.04.01,63486,9.81
16,사는 게 이게 모양?!                ,두 번째 이야기 : 시안이네 회사에서 알바를!,17,2019.04.03,39404,9.81
17,사는 게 이게 모양?!                ,세 번째 이야기 : 민초&아포를 소개합니다!,18,2019.04.08,33748,9.83
18,사는 게 이게 모양?!                ,네 번째 이야기 : 친구여! 성덕이 되어라!,19,2019.04.10,31274,9.8
19,사는 게 이게 모양?!                ,다섯 번째 이야기 : 민초의 대입썰 (1),20,2019.04.15,29954,9.84
20,능력안경                ,추석특집,21,2014.09.08,299800,9.79
21,능력안경                ,★,22,2015.04.01,183638,9.8
22,능력안경                ,[공지] 새해 복 많이 받으세요!,23,2016.01.01,131566,9.65
23,능력안경                ,0,24,2016.04.01,261778,9.9
24,능력안경                ,1,25,2016.04.06,307761,9.88
25,블루랜드                ,00,26,2015.12.30,218596,9.86
26,블루랜드                ,재연재 공지,27,2020.12.01,21904,9.86
27,블루랜드                ,1,28,2020.12.24,26564,9.84
28,블루랜드                ,2,29,2021.01.24,14150,9.86
29,블루랜드                ,3,30,2021.02.24,9952,9.89
30,아타나시아                ,Chapter 0,31,2019.06.13,28837,9.51
31,아타나시아                ,chapter 1-1,32,2019.07.04,14101,9.54
32,아타나시아                ,chapter 1-2,33,2019.07.20,10583,9.57
33,아타나시아                ,chapter 1-3,34,2019.08.22,9631,9.66
34,아타나시아                ,chapter 1-4,35,2019.09.21,9724,9.54
35,불손한 친구들                ,1화 불손한 친구들,36,2016.04.17,14661,9.67
36,불손한 친구들                ,2화 불가사의한 만남,37,2016.04.17,11564,9.66
37,불손한 친구들                ,3화 그의 과외,38,2016.05.01,9876,9.75
38,불손한 친구들                ,4화 처음 듣는 얘기인걸,39,2016.05.22,9403,9.78
39,불손한 친구들                ,5화 검은 개,40,2016.06.20,8987,9.74
40,곰의 딸                ,00,41,2021.01.06,25693,9.27
41,곰의 딸                ,01. 그렇게 어둠이 내려왔다,42,2021.01.26,21396,9.62
42,곰의 딸                ,02. 살아가는 사람들,43,2021.02.02,12319,9.45
43,곰의 딸                ,03. 그날은 거짓말같이 맑았다,44,2021.02.09,10193,9.51
44,곰의 딸                ,04.침략,45,2021.02.16,9020,9.45
45,사쟈툰                ,낙타 타는 만화,46,2015.06.22,111412,9.16
46,사쟈툰                ,마스크 쓰는 만화,47,2015.06.22,90395,9.32
47,사쟈툰                ,교수님이 C 뿌리는 만화,48,2015.06.22,97329,9.34
