,장르,제목,좋아요,별점,정식연재
1626,판타지,하이퍼(HYPER),"1,457",9.46,0
1627,판타지,-,"11,724",9.89,0
1628,판타지,돌아와 리즈!,"2,962",9.77,0
1629,판타지,잊지 말아요,"5,148",9.86,0
1630,판타지,미르신화전기,"3,849",9.86,0
1631,판타지,10월 28일,"2,913",9.88,1
1632,판타지,합법해적 파르페,"2,590",9.9,1
1633,판타지,코스믹 코믹스,"26,002",9.89,0
1634,판타지,달리다굼,"10,274",9.85,0
1635,판타지,셀리아의 어린 연인,"1,058",9.84,0
1636,판타지,요괴백정,"2,468",9.85,0
1637,판타지,거미의 상자,"8,613",9.9,0
1638,판타지,그 앨리스에게 판타지란 없다,917,9.89,0
1639,판타지,검은인간,"1,273",9.89,1
1640,판타지,사형제,"11,532",9.88,0
1641,판타지,일어나보니 치킨,"2,955",9.86,0
1642,판타지,해결사,"4,622",9.88,0
1643,판타지,이매무당전,"4,575",9.9,0
1644,판타지,그 세계의 공주님,"6,378",9.87,0
1645,판타지,너는 나의 나는 너의 수호천사,"10,301",9.88,0
1646,판타지,빅보이,"1,822",9.82,0
1647,판타지,소환진이 좀 이상해 보이는 건 기분 탓이겠지,"10,693",9.9,0
1648,판타지,회색문: 괴담,"1,237",9.8,0
1649,판타지,안녕도깨비,"3,084",9.87,0
1650,판타지,A의 세계,"14,506",9.4,0
1651,판타지,시간이 머문 집,"9,163",9.89,0
1652,판타지,체리블로섬,"8,437",9.89,0
1653,판타지,껌은 고양이 뇌로,"6,505",9.82,0
1654,판타지,나를 키워주세요,"2,392",9.79,0
1655,판타지,자체공강,"12,820",9.86,0
1656,판타지,개인사생활,"1,723",9.63,0
1657,판타지,지울 수 있을까?,"5,370",9.89,0
1658,판타지,다프트기어,"2,048",9.7,0
1659,판타지,가상&RPG,"14,389",9.88,0
1660,판타지,카인의표적,"2,811",9.85,0
1661,판타지,나는 사람입니다.,169,9.86,0
1662,판타지,나의 작은 여우별,"11,182",9.9,0
1663,판타지,괴신,"3,588",9.85,0
1664,판타지,차원의 소녀,"7,043",9.89,0
1665,판타지,고교생을 환불해 주세요,"2,891",9.88,1
1666,판타지,검은피의 도시,"1,403",9.77,0
1667,판타지,푸른사막 아아루,"3,595",9.89,1
1668,판타지,웨일즈,"8,463",9.9,0
1669,판타지,카리스마,"3,639",9.89,0
1670,판타지,왕립 루브리카 종합학원,"3,878",9.9,0
1671,판타지,블러드문,"3,268",9.74,0
1672,판타지,종이비행기를 날리면,"5,481",9.83,0
1673,판타지,백일고 상상클럽,"4,975",9.87,0
1674,판타지,나를 깨우러 온,"2,502",9.89,0
1675,판타지,현악 4중주 - 콰르텟,840,9.56,0
1676,판타지,티안,"1,656",9.86,0
1677,판타지,숲속의 성,"16,230",9.88,0
1678,판타지,벚꽃과 불꽃,"6,180",9.88,0
1679,판타지,내 여동생은 귀여워,834,7.13,0
1680,판타지,나이베디야,"4,562",9.85,0
1681,판타지,나의 스위치 메이트,"14,821",9.89,0
1682,판타지,이계리턴즈,"2,319",9.85,0
1683,판타지,어글리후드,"2,510",9.89,1
1684,판타지,기프트!,"1,611",9.87,0
1685,판타지,에르나크,934,9.85,0
1686,판타지,파블(fable),"6,834",9.85,0
1687,판타지,개구리공주,695,9.87,0
1688,판타지,"용사갑,마왕을","1,675",9.88,0
1689,판타지,가출천사 육성계약,"3,669",9.89,0
1690,판타지,나는 부활 마법을 가졌다,"5,726",9.86,0
1691,판타지,던전의 주인님,"2,905",9.88,0
1692,판타지,시리우스,"1,521",9.85,0
1693,판타지,이상한 나라의 더 이상한 앨리스,"6,682",9.76,0
1694,판타지,몬스터 커맨더F,"9,025",9.86,0
1695,판타지,라인리스 :: Lineless,"4,382",9.85,0
1696,판타지,골란기-시발섬의 식인종들-,"1,972",9.79,0
1697,판타지,빌런즈,"3,287",9.89,0
1698,판타지,슬픔을 먹는 남자,"8,739",9.89,0
1699,판타지,산들바람,"1,985",9.83,0
1700,판타지,곤충전,"1,762",9.86,0
1701,판타지,갓도령스,620,9.88,1
1702,판타지,지금은 여관주인!!,"2,809",9.9,0
1703,판타지,후크,"2,642",9.87,0
1704,판타지,랜드라이프,"9,242",9.89,0
1705,판타지,클릭금지,836,9.74,0
1706,판타지,정령왕즈,"9,043",9.88,0
1707,판타지,윈터하츠,"6,374",9.89,0
1708,판타지,어둠이 내게 오면,"4,692",9.86,0
1709,판타지,저주인형,"1,591",9.89,0
1710,판타지,의자왕 체어맨,6,9.49,0
1711,판타지,매구인게 어때서?!,"3,162",9.84,0
1712,판타지,"Please kiss me, Princess","7,831",9.89,0
1713,판타지,엔드와 세이브,"1,809",9.61,0
1714,판타지,엘레노이 아타락시아,"6,737",9.87,0
1715,판타지,틈,"5,920",9.85,0
1716,판타지,악취,930,9.76,1
1717,판타지,오십과 오십의 세계,"6,574",9.86,0
1718,판타지,호구와 싸가지,"6,211",9.89,0
1719,판타지,봉봉미엘 홍차클럽,"7,703",9.9,0
1720,판타지,저주와 별가루,"4,329",9.74,0
1721,판타지,쓰레기 성의 소녀,"8,687",9.89,0
1722,판타지,미친악마,301,9.84,0
1723,판타지,스펙터즈,"3,341",9.89,0
1724,판타지,행복을 입혀 드립니다,"3,101",9.89,0
1725,판타지,아더의왕국,522,9.88,0
1726,판타지,백설:잔혹동화,"5,184",9.85,0
1727,판타지,야수와 줄리엣,294,9.88,0
1728,판타지,일상을 지켜라,"2,043",9.88,0
1729,판타지,하나린 하나린,"4,046",9.88,0
1730,판타지,사이클,"2,538",9.88,0
1731,판타지,정귀괴담록,"1,036",9.86,0
1732,판타지,이클립스,"4,176",9.86,0
1733,판타지,데일리 위치,"1,533",9.85,0
1734,판타지,판타지 여동생!,507,9.46,1
1735,판타지,우리 집에 최애캐!,772,9.78,0
1736,판타지,이세계 용사랑 마왕 뭐 그런거 알잖아?,"1,178",9.88,0
1737,판타지,아머나이트,"1,379",9.78,0
1738,판타지,좋은 꿈 꾸세요,"1,988",9.89,0
1739,판타지,마녀가 잠든 사이에,790,9.86,0
1740,판타지,불멸의 드래곤,354,9.43,0
1741,판타지,검은소,"1,218",9.83,0
1742,판타지,아케미아 아카데미,"3,236",9.86,0
1743,판타지,무한의 팔라무트,"2,563",9.8,0
1744,판타지,찬란하게 드리우다,"2,866",9.87,0
1745,판타지,루턴 -past story-,"2,611",9.84,0
1746,판타지,마족사제,"2,318",9.89,0
1747,판타지,"안녕, 앨리스","11,037",9.83,0
1748,판타지,사소한 일로 계약,"1,015",9.55,0
1749,판타지,수호령,"1,325",9.88,0
1750,판타지,퇴마부,"1,521",9.82,0
1751,판타지,흑묘,"4,920",9.72,0
1752,판타지,내 남친은 이세계를 구한 용사님!?,454,9.86,0
1753,판타지,어나더,"1,290",9.86,0
1754,판타지,빨간 고백,"6,826",9.74,0
1755,판타지,자각몽,"3,411",9.89,0
1756,판타지,상현당,"2,891",9.63,0
1757,판타지,내 룸메이트는 마네킹,"5,100",9.8,1
1758,판타지,머리카락을 뽑으면,700,9.81,1
1759,판타지,마음과 마법의 반비례,"2,642",9.88,0
1760,판타지,바리이야기,"2,836",9.88,0
1761,판타지,중고 팔레트,"2,169",9.84,0
1762,판타지,잃어버린 시간을 드립니다,"1,994",9.86,0
1763,판타지,킬링타임,749,9.83,1
1764,판타지,식인귀,"1,918",9.63,0
1765,판타지,미즈라 태양의 성,"3,489",9.89,0
1766,판타지,애플 에이지,"3,152",9.87,0
1767,판타지,달을 그리는 숲,815,9.75,0
1768,판타지,듀이,"1,080",9.85,0
1769,판타지,달란트,"2,112",9.88,0
1770,판타지,드라코런 :: Dracorun,975,9.8,0
1771,판타지,신의 마녀,"7,183",9.87,0
1772,판타지,코르보(Corvo),742,9.86,0
1773,판타지,남주만 9명?!,"2,050",9.67,0
1774,판타지,네가 머무는 자리,"1,799",9.83,0
1775,판타지,스페로 스페라,"5,336",9.88,0
1776,판타지,두번째의 왕자님,"4,150",9.88,0
1777,판타지,포-갓,"3,568",9.88,0
1778,판타지,사신기,832,9.8,0
1779,판타지,앨리스를 위하여,"2,731",9.87,0
1780,판타지,마계의 황녀,"7,260",9.87,0
1781,판타지,우리들의 트로이메라이,"2,672",9.88,0
1782,판타지,지켜라!여의주!,"3,682",9.71,0
1783,판타지,아이엠 헝그리,"1,578",9.79,0
1784,판타지,천상열차분야지도,"2,882",9.87,0
1785,판타지,마녀 어머니와 좀비 아들,950,9.85,0
1786,판타지,용사를 물리쳐라!,"2,058",9.9,0
1787,판타지,겨울밤,"5,361",9.85,0
1788,판타지,STONE AGE,"4,858",9.89,0
1789,판타지,수상한 가족협정,"1,734",9.89,0
1790,판타지,티레시아스,"4,128",9.85,0
1791,판타지,디드롭스 (D.drops),"1,793",9.88,0
1792,판타지,달맞이꽃,"3,712",9.82,0
1793,판타지,모브,"6,253",9.86,0
1794,판타지,용사님이시다,"3,732",9.85,0
1795,판타지,뱀파이어 수난시대,492,9.76,0
1796,판타지,크리스마스는 쨈과 함께,"1,236",9.86,0
1797,판타지,큐레이터,"2,070",9.72,0
1798,판타지,크리비 (Crea.B),"3,904",9.77,0
1799,판타지,왕과 그림자와 여자,"2,262",9.76,0
1800,판타지,판타스틱 시니어,"2,161",9.88,0
1801,판타지,중간계 사우나,"8,062",9.82,0
1802,판타지,열렙전사,379,9.71,1
1803,판타지,용사의 딸,"1,547",9.78,0
1804,판타지,정글짐 위에 올라,"2,820",9.89,0
1805,판타지,금빛아이는 새벽을 달린다,"6,583",9.89,1
1806,판타지,플레이어,424,9.56,0
1807,판타지,허니버니,435,9.86,1
1808,판타지,신과의 대화,"5,174",9.77,0
1809,판타지,나라 구한 전생,"3,638",9.89,0
1810,판타지,어린공주,"1,112",9.89,0
1811,판타지,마녀는 그렇게 죽었다,"1,153",9.84,0
1812,판타지,그의 박물관엔 수상한 미라가 있다.,873,9.89,0
1813,판타지,유만즈,828,9.85,0
1814,판타지,슬립워커,573,9.84,0
1815,판타지,렝드,885,9.85,0
1816,판타지,마왕이 상병신,"3,738",9.87,0
1817,판타지,드리머,374,9.41,0
1818,판타지,아수라게이트,"2,714",9.47,0
1819,판타지,신의 프시키온,"1,088",9.84,0
1820,판타지,나루아씨전,"1,178",9.86,0
1821,판타지,오늘과 내일의 경계,"1,963",9.89,0
1822,판타지,마왕이 되는 방법,"2,813",9.83,0
1823,판타지,데몬데몬,"2,324",9.85,0
1824,판타지,신의 계약서,"2,147",9.63,0
1825,판타지,페이퍼,435,9.8,0
1826,판타지,인더섀도우,"2,494",9.89,0
1827,판타지,달과 바다와 관찰자,"2,550",9.87,0
1828,판타지,마물전담부대,"2,695",9.89,0
1829,판타지,내 안에 깃든 너,624,9.88,0
1830,판타지,어둠 속을 날아서,480,9.73,0
1831,판타지,블루랜드,"2,551",9.9,0
1832,판타지,로즈관찰일기,"1,136",9.75,0
1833,판타지,파도를 삼킨 어항,"2,233",9.75,0
1834,판타지,가위바위보,"1,474",9.59,0
1835,판타지,편의점의 마법사,"2,129",9.89,0
1836,판타지,컬러풀,800,9.83,0
1837,판타지,Hello Death! [헬로데스],939,9.84,0
1838,판타지,월혼,"6,412",9.74,0
1839,판타지,인연입니까?,"1,139",9.7,0
1840,판타지,신이 없는 세계,"1,060",9.88,0
1841,판타지,어글리 피플즈,"1,018",8.7,1
1842,판타지,문카니발,310,9.57,0
1843,판타지,판데모니움,196,9.59,0
1844,판타지,Free Or UNfree,751,9.8,0
1845,판타지,후르츠렌즈!,"3,036",9.79,0
1846,판타지,우주의 수호천사,"1,153",9.87,0
1847,판타지,플라워,851,9.67,0
1848,판타지,먼지소녀,452,8.81,0
1849,판타지,피그말리온,"1,659",9.88,0
1850,판타지,밤을 거둔 신기루는,"2,379",9.87,0
1851,판타지,미스터 신데렐라,"2,065",9.78,0
1852,판타지,미용사,911,9.79,0
1853,판타지,문지기,"3,345",9.89,0
1854,판타지,저승사자 이야기,"3,477",9.85,0
1855,판타지,악마의 레시피,"1,485",9.76,0
1856,판타지,신의 태궁,"1,110",9.88,0
1857,판타지,하늘하늘하늘!,"2,180",9.76,0
1858,판타지,내 신랑은 구미호,"1,446",9.47,0
1859,판타지,아스테리스크,"3,366",9.88,0
1860,판타지,악마의 육아일기,"3,430",9.83,0
1861,판타지,신들을 부탁해!,152,9.8,0
1862,판타지,유진의 환상특급열차,"2,386",9.9,0
1863,판타지,페카텀,"2,267",9.77,0
1864,판타지,이데아 프로젝트,"3,308",9.83,0
1865,판타지,드래곤 카이트,"1,842",9.59,0
1866,판타지,공주님은 알바중,"1,426",9.65,0
1867,판타지,신화의 나라,"1,348",9.78,0
1868,판타지,벽(로그아웃),"1,342",9.82,1
1869,판타지,저는 용사님이 아닌데요!,"2,084",9.69,0
1870,판타지,아파트용사,"2,148",9.43,0
1871,판타지,인생사진,"1,646",9.69,0
1872,판타지,뱀프 브라더스,"1,441",9.88,0
1873,판타지,반,928,9.83,0
1874,판타지,엑스트라 Z씨,"5,039",9.9,0
1875,판타지,나부활,"2,991",9.84,0
1876,판타지,성검의 홀리소드,284,9.78,0
1877,판타지,죽는날까지,745,9.89,0
1878,판타지,눈꽃,"1,481",9.84,0
1879,판타지,오즈의 바보들,"2,104",9.88,0
1880,판타지,환상의 아이들,"4,252",9.89,0
1881,판타지,마법사와 꼬마,839,9.84,0
1882,판타지,완벽한 이별,"1,590",9.8,0
1883,판타지,단역: 아무개,641,9.83,0
1884,판타지,도원향,"6,838",9.89,0
1885,판타지,블랙 헤이즈,"24,160",9.87,0
1886,판타지,해프닝,"6,329",9.85,0
1887,판타지,이상낙원,"2,159",9.88,0
1888,판타지,용사·마왕·우주인,"2,849",9.9,0
1889,판타지,판타지 TV,"5,497",9.67,0
1890,판타지,저승탈출 넘버원,173,9.23,0
1891,판타지,그와 그녀와 그,"4,248",9.86,0
1892,판타지,쓰지만 달콤해,"2,119",9.16,0
1893,판타지,브레인 스톰,"4,066",9.87,0
1894,판타지,지금만큼은,"1,260",9.89,0
1895,판타지,무의식의 숲,"4,031",9.9,0
1896,판타지,더미,528,9.84,0
1897,판타지,아베 마리아,"2,311",9.87,0
1898,판타지,우린 NPC다,901,9.69,0
1899,판타지,최강의 악마,374,9.89,0
1900,판타지,운명...인가요?,"7,302",9.89,0
1901,판타지,체크메이트 더 게임,"1,076",9.43,0
1902,판타지,초인의시대,531,9.52,1
1903,판타지,신,531,9.69,0
1904,판타지,이왕이면 아이돌,"2,021",9.71,0
1905,판타지,넘버그레이,769,9.87,0
1906,판타지,신선 마트 중간계지점,"1,300",9.89,0
1907,판타지,나비 이야기,917,9.9,0
1908,판타지,애쉬그레이,"3,265",9.89,0
1909,판타지,악마의 성불사무소,325,9.89,0
1910,판타지,아라비안 스위트,"1,266",9.79,0
1911,판타지,한국인이다,"1,202",9.8,0
1912,판타지,HOL(전설의 역사),"1,895",9.4,0
1913,판타지,판타스틱! 티티우스 표류기,702,9.86,0
1914,판타지,너를 잃는 숲,875,9.81,0
1915,판타지,좀비인간,301,9.6,0
1916,판타지,평범한 이계의 여고생,"1,706",9.86,0
1917,판타지,견우화,"3,356",9.87,0
1918,판타지,1+1=3,"2,489",9.87,0
1919,판타지,나의 수상한 행성,"7,309",9.84,0
1920,판타지,하늘의 가녘,244,9.89,0
1921,판타지,주작작 주주작,"2,755",9.67,0
1922,판타지,멍멍이랑,"2,645",9.89,0
1923,판타지,지켜라! 밥그릇,703,9.85,0
1924,판타지,사신과 소녀,"2,025",9.86,0
1925,판타지,할로윈이 끝나기 전에,"3,794",9.89,0
1926,판타지,세이의 RPG,189,9.69,0
1927,판타지,우주광부,157,9.7,0
1928,판타지,너에게 말하지 못한 얘기,"1,372",9.84,0
1929,판타지,게이트,756,9.76,0
1930,판타지,사인검,"1,253",9.78,0
1931,판타지,우리집 브로콜리,848,9.83,0
1932,판타지,이시미이야기,"1,678",9.58,0
1933,판타지,네크로골비,"2,650",9.85,0
1934,판타지,마당개의 인생,739,9.73,0
1935,판타지,로베스의 완전감각,"1,185",9.88,1
1936,판타지,은하!,"4,594",9.88,0
1937,판타지,볼트(VOLT),"1,482",9.74,0
1938,판타지,재건! 마왕성,"1,250",9.87,0
1939,판타지,여름밤에 문을 두드린 산타,"1,481",9.88,0
1940,판타지,무슨일이에요?,"1,529",9.77,0
1941,판타지,안즈,548,9.8,0
1942,판타지,페이트,395,9.72,0
1943,판타지,황금 장미,"1,747",9.84,0
1944,판타지,시간선 完,"2,806",9.8,0
1945,판타지,호가비,322,9.85,0
1946,판타지,반연(絆緣),"1,776",9.9,0
1947,판타지,바사무엘,"1,211",9.87,0
1948,판타지,흐르는 바닷불처럼,"2,980",9.78,1
1949,판타지,어쩌다 보니 용사가,463,9.64,0
1950,판타지,AIR,307,9.89,0
1951,판타지,용사님을 사랑한 힐러님,169,9.83,0
1952,판타지,동물화실,"1,783",9.9,0
1953,판타지,오늘의 퇴마,"2,958",9.87,0
1954,판타지,뱀블러프,319,9.76,0
1955,판타지,포르고드(FORGOD),656,9.86,0
1956,판타지,환상동화 모음집,453,9.65,0
1957,판타지,불꽃에 휘날리다,"1,936",9.85,0
1958,판타지,시선스틸러,548,9.62,0
1959,판타지,요괴백정,81,9.87,0
1960,판타지,산타,"2,237",9.74,0
1961,판타지,심연,"2,532",9.76,0
1962,판타지,등선(登仙),383,9.5,0
1963,판타지,하제,"1,203",9.87,0
1964,판타지,"가라, 로봇!",285,9.62,0
1965,판타지,하나뿐인 안드로이드,"1,033",9.43,0
1966,판타지,나비를 찾아서,"2,113",9.85,0
1967,판타지,모던픽션A: 삼국지 표류도시,"1,083",9.82,0
1968,판타지,新조선왕조실록,"2,491",9.83,0
1969,판타지,월야에 우는 새,355,9.81,0
1970,판타지,이매망향 ?魅望香,"2,332",9.75,0
1971,판타지,몽상가 죽이기,338,9.57,0
1972,판타지,절대신의 유희,"7,222",9.85,0
1973,판타지,잠자던 숲속의 공주,"2,210",9.66,0
1974,판타지,다르디움,697,9.87,0
1975,판타지,갑자기판타지,268,9.8,0
1976,판타지,PANDEMIC,"2,099",9.83,0
1977,판타지,엘카림이 들어줄게!,"2,373",9.78,0
1978,판타지,마도,326,9.74,0
1979,판타지,이 몸은 신이니라!,151,9.61,0
1980,판타지,나오의 결계,387,9.73,0
1981,판타지,코인,"2,339",9.79,0
1982,판타지,오늘은 영웅,595,9.78,0
1983,판타지,번혼,848,9.11,0
1984,판타지,포로롱 포롱,"1,541",9.85,0
1985,판타지,꿈무덤,966,9.82,0
1986,판타지,왕의정원,497,9.74,0
1987,판타지,야생화,141,9.84,0
1988,판타지,사이어미즈,427,9.75,0
1989,판타지,그라티아,245,9.55,0
1990,판타지,결혼 교과 시간,489,9.8,0
1991,판타지,도화,"1,450",9.85,1
1992,판타지,리바이벌(Revival),"3,184",9.77,0
1993,판타지,고양이 마법학교,"1,853",9.8,0
1994,판타지,기억들,871,9.89,0
1995,판타지,용애어부가,"1,779",9.9,0
1996,판타지,다이아몬드 갓 수,472,9.58,0
1997,판타지,엑소니클,"1,296",9.67,0
1998,판타지,야귀록,"1,342",9.75,0
1999,판타지,바이러스 X,878,9.49,1
2000,판타지,틈새의주인,608,9.84,0
2001,판타지,선택게임,"2,584",9.87,0
2002,판타지,히어로전우치,115,9.62,0
2003,판타지,데빌런,501,9.75,0
2004,판타지,오마이갓,"2,705",9.58,0
2005,판타지,루크벨라의 우아한인생,"2,188",9.87,0
2006,판타지,구세의 블레이딩,359,9.7,0
2007,판타지,사자(使者),"2,157",9.86,0
2008,판타지,엘프하프,"1,690",9.85,0
2009,판타지,은룡여린설,"1,978",9.88,0
2010,판타지,소금물 방,"1,595",9.86,0
2011,판타지,소녀와 동박새,217,9.85,0
2012,판타지,슈퍼캣,181,9.59,0
2013,판타지,야옹방범대,"2,255",9.89,0
2014,판타지,리베르,552,9.32,0
2015,판타지,무지개다리 파수꾼,"1,130",9.73,0
2016,판타지,하루살이 소년,944,9.87,0
2017,판타지,파도의 색깔,403,9.88,0
2018,판타지,그마남 이야기,"10,789",9.86,0
2019,판타지,감각의 어빌러티,"5,347",9.87,0
2020,판타지,수상한 전학생,"3,013",9.85,0
2021,판타지,연애노트,838,8.83,0
2022,판타지,여우비 전설,982,8.92,0
2023,판타지,신기관리팀 처용대,288,9.67,0
2024,판타지,돌팔이 작명소,383,9.57,0
2025,판타지,나 좀 내버려둬!,789,9.68,0
2026,판타지,주근깨 가쵸,136,9.66,0
2027,판타지,호랑이와 해님달님,130,9.86,0
2028,판타지,세피아,777,9.85,0
2029,판타지,도도도,515,9.8,0
2030,판타지,묘 (猫) 하게 이끌리는,98,9.79,0
2031,판타지,리얼 김영감 게임,762,9.7,0
2032,판타지,낭떠러지 밖으로 점프,730,9.76,0
2033,판타지,검은 늑대,"1,980",9.87,0
2034,판타지,문신,"1,571",8.62,0
2035,판타지,은조,322,9.06,0
2036,판타지,천사에게는 날개가 없다,"1,602",9.87,0
2037,판타지,너의 여집합,"2,154",9.86,0
2038,판타지,스크럼블 에그!,"1,204",9.82,0
2039,판타지,아르테,"1,120",9.87,0
2040,판타지,"뼈와 재, 불의 이야기",997,9.42,0
2041,판타지,페탈(쥬브나일스),828,9.85,0
2042,판타지,죽지못해산다,"7,735",9.88,0
2043,판타지,호랑각시,407,9.16,0
2044,판타지,산타라떼(Santa Latte),782,9.86,0
2045,판타지,신기한 오늘,"2,779",9.52,0
2046,판타지,좀비가 된 세상에서 마법사는,481,9.32,0
2047,판타지,라스가에!,"1,657",9.89,0
2048,판타지,비공식 공동체,260,8.76,0
2049,판타지,하임의 서재,"2,170",9.89,0
2050,판타지,용아,616,8.9,0
2051,판타지,도나도나도나,"3,943",9.88,0
2052,판타지,바스티아 대륙이야기 -마왕의 대륙-,513,9.4,0
2053,판타지,호랑이형님,"4,146",9.86,1
2054,판타지,PI(파이),951,9.75,0
2055,판타지,모던 던전 판타지아,735,9.83,0
2056,판타지,마고,507,9.88,0
2057,판타지,캐스팔루크,292,9.73,0
2058,판타지,네거티브 칸나,505,9.74,0
2059,판타지,선녀가온 나나,"5,092",9.84,0
2060,판타지,꼬마마법사 박광태,244,9.75,0
2061,판타지,밤의 피조물,336,9.75,0
2062,판타지,최초의 다정,133,9.82,0
2063,판타지,이리(iri),"1,624",9.46,0
2064,판타지,백풍의 신령 가무,150,9.46,0
2065,판타지,괴물의 바다,"1,384",9.89,0
2066,판타지,윙,366,9.59,0
2067,판타지,이탈자,"1,316",9.84,0
2068,판타지,검은유성우,"1,589",9.83,0
2069,판타지,도시유사 현세전,174,9.24,0
2070,판타지,포도나무 소녀,893,9.77,0
2071,판타지,아이테르,354,9.86,0
2072,판타지,미용사 : LOST HERO,"1,030",9.72,0
2073,판타지,전기수,"1,027",9.86,0
2074,판타지,지옥의 주인,84,9.22,0
2075,판타지,기생하는 심장,262,9.86,0
2076,판타지,마왕 옆자리 비서 한 마리,180,9.8,0
2077,판타지,쏘 판타지,"1,300",9.87,0
2078,판타지,그냥 엄청난 판타지,468,9.81,0
2079,판타지,문어숙희숙회,"1,025",9.74,0
2080,판타지,빗자루도깨비 태비,"1,081",9.86,0
2081,판타지,악마소녀,405,9.58,0
2082,판타지,묵색임금,"1,837",9.85,0
2083,판타지,헬58,"2,458",9.46,1
2084,판타지,화분,"2,254",9.9,0
2085,판타지,사갈(蛇蝎),213,9.84,0
2086,판타지,버그 트레인,"1,430",9.84,0
2087,판타지,크리그,409,9.82,0
2088,판타지,블래커,196,9.77,0
2089,판타지,비밀의 화분,"1,203",9.61,0
2090,판타지,인수니즘 코믹스,434,9.79,0
2091,판타지,크라이시스,296,9.78,0
2092,판타지,슈퍼 시크릿,"3,606",9.85,1
2093,판타지,포갓레인저,"2,136",9.75,0
2094,판타지,젤리빈 하우스,"1,495",9.8,0
2095,판타지,트러블걸,296,9.7,0
2096,판타지,공부 좀 하자,"1,196",9.85,0
2097,판타지,노바,"2,496",9.83,0
2098,판타지,애오라지,965,9.7,0
2099,판타지,히어로키-악의돼지삼형제 ReMake,420,9.59,0
2100,판타지,아비터,"1,132",9.78,0
2101,판타지,조선타임트래블,"1,083",9.84,0
2102,판타지,나비리본,621,9.77,0
2103,판타지,환상법사,510,9.46,0
2104,판타지,몬스터즈 하우스,"2,738",9.88,0
2105,판타지,도깨비를 키우는 방법,863,9.83,0
2106,판타지,할로우 포인트,191,9.85,0
2107,판타지,종이를 주웠다,"1,292",9.65,0
2108,판타지,철의 낙원,414,9.05,0
2109,판타지,To.[M],438,9.81,0
2110,판타지,박수고딩,330,9.09,0
2111,판타지,겨울성의 백작,468,9.86,0
2112,판타지,망월선녀설화,"1,374",8.95,0
2113,판타지,태양,177,9.6,0
2114,판타지,EMPIRE(제국),"1,576",9.6,0
2115,판타지,사가,412,9.62,0
2116,판타지,"빛, 봉인의 열쇠",981,9.76,0
2117,판타지,만가,473,9.38,0
2118,판타지,발렌티노 다스티,717,9.82,0
2119,판타지,너머의 항하사,762,9.78,0
2120,판타지,여고생 변신하는 만화,477,9.86,0
2121,판타지,달의 문지기(휴재),834,9.38,0
2122,판타지,스타더스트,693,8.94,0
2123,판타지,휠오브포춘,"1,805",9.73,0
2124,판타지,천사는 야옹,"1,538",9.9,0
2125,판타지,그녀의 시크릿 사운드,681,9.82,0
2126,판타지,꿈의 왕의 꿈,213,9.84,0
2127,판타지,어렴풋이,640,9.8,0
2128,판타지,우리에게 내일은,442,9.53,0
2129,판타지,열쇠의 용사 카이제루스,783,9.65,0
2130,판타지,새을비전,311,9.87,0
2131,판타지,이브의 꿈속친구,"1,220",9.86,0
2132,판타지,용은 범을 잡아먹지 않는다.,444,9.72,0
2133,판타지,출근하개,366,9.04,0
2134,판타지,왕자님을 찾아라!,225,9.88,0
2135,판타지,궁극 고등학교,71,9.25,0
2136,판타지,투지만발 슈트라이텐,275,8.97,0
2137,판타지,페더,"2,245",9.86,0
2138,판타지,검은 가시,256,9.86,0
2139,판타지,잭(J.a.c.k),"1,100",9.2,0
2140,판타지,링거,748,9.73,0
2141,판타지,이상한 낙원의 넬리쉬,"1,002",9.71,0
2142,판타지,도깨비 장난,743,9.88,0
2143,판타지,네크로맨서,"1,067",9.87,0
2144,판타지,뉴 빌런,426,9.82,0
2145,판타지,천상의 전령사,292,9.48,0
2146,판타지,로단테,808,9.88,0
2147,판타지,우로보로스,790,9.45,0
2148,판타지,트럼프,275,9.85,1
2149,판타지,레퀴에스,90,9.25,0
2150,판타지,가면,"1,090",9.52,0
2151,판타지,데르탈리즘,178,9.58,0
2152,판타지,신과 인간에 관한 재밌는 상상화,201,9.8,0
2153,판타지,클로버 신드롬,456,9.58,0
2154,판타지,5인전쟁,521,9.87,0
2155,판타지,솔직히 말해서,937,9.69,0
2156,판타지,크림슨 크로스,"1,465",9.77,0
2157,판타지,라스오브이블,410,9.6,0
2158,판타지,월국(月國)의 프락세이스,521,9.64,0
2159,판타지,진주전,145,9.86,0
2160,판타지,WINGS,125,9.8,0
2161,판타지,마고령,"1,426",9.85,0
2162,판타지,밀레니엄 헌터,420,9.87,0
2163,판타지,초하루 밤의 달맞이꽃,178,9.79,0
2164,판타지,미토스 리바이버,745,9.83,0
2165,판타지,용사 신드롬!,409,9.57,0
2166,판타지,색깔전쟁,53,9.79,0
2167,판타지,여우들,228,9.47,0
2168,판타지,조선귀변사,451,9.56,0
2169,판타지,용사를 찾아서,129,9.35,0
2170,판타지,은해갑을깝치,153,9.24,0
2171,판타지,이차원의 테라리움,87,9.45,0
2172,판타지,악귀의 메아리,431,9.61,0
2173,판타지,이상의세상,58,9.16,0
2174,판타지,하이라몽,"1,837",9.53,0
2175,판타지,비너스,294,9.28,0
2176,판타지,페인포인트 PAINPOINT,130,9.62,0
2177,판타지,고3목마 회전인생,118,9.73,0
2178,판타지,메모리시티-일주일해결사들,118,9.74,0
