,À¥Å÷ Á¦¸ñ,È¸Â÷ Á¦¸ñ,È¸Â÷,µî·ÏÀÏ,Á¶È¸¼ö,È¸Â÷º° º°Á¡,º°Á¡ Âü¿©ÀÎ¿ø¼ö,ÁÁ¾Æ¿ä¼ö
187,¿Ü¸ðÁö»óÁÖÀÇ                ,2È­,2,2014.08.01,126749,9.82,(Âü¿© 5577),"2,962"
188,¿Ü¸ðÁö»óÁÖÀÇ                ,3È­,3,2014.08.07,64453,9.85,(Âü¿© 6722),"4,001"
189,¿Ü¸ðÁö»óÁÖÀÇ                ,4È­,4,2014.08.16,38481,9.87,(Âü¿© 7407),"4,589"
190,¿Ü¸ðÁö»óÁÖÀÇ                ,5È­,5,2014.08.23,28649,9.88,(Âü¿© 8895),"5,726"
191,°í±³»ýÀ» È¯ºÒÇØ ÁÖ¼¼¿ä                ,ÇÁ·Ñ·Î±×,1,2017.10.27,126849,9.83,(Âü¿© 655),354
192,°í±³»ýÀ» È¯ºÒÇØ ÁÖ¼¼¿ä                ,1È­ - »îÀº °è¶õ,2,2017.10.31,135517,9.80,(Âü¿© 597),329
193,°í±³»ýÀ» È¯ºÒÇØ ÁÖ¼¼¿ä                ,2È­ - ÀÎ»ý½ºÅ¸±×·¥,3,2017.11.02,101883,9.76,(Âü¿© 498),229
194,°í±³»ýÀ» È¯ºÒÇØ ÁÖ¼¼¿ä                ,3È­ - »ç¸Á¼±°í,4,2017.11.07,87735,9.83,(Âü¿© 543),229
195,°í±³»ýÀ» È¯ºÒÇØ ÁÖ¼¼¿ä                ,4È­ - È¯ºÒ°í ÀÔÇÐ,5,2017.11.10,87262,9.85,(Âü¿© 551),237
196,º°À» »ïÅ² ³Ê¿¡°Ô                ,1È­,1,2019.11.27,132734,9.56,(Âü¿© 470),734
197,º°À» »ïÅ² ³Ê¿¡°Ô                ,2È­,2,2019.12.04,84574,9.72,(Âü¿© 324),533
198,º°À» »ïÅ² ³Ê¿¡°Ô                ,3È­,3,2019.12.11,63768,9.63,(Âü¿© 289),489
199,º°À» »ïÅ² ³Ê¿¡°Ô                ,4È­,4,2019.12.18,60884,9.78,(Âü¿© 331),507
200,º°À» »ïÅ² ³Ê¿¡°Ô                ,5È­,5,2019.12.25,65406,9.77,(Âü¿© 343),525
201,Çª¸¥»ç¸· ¾Æ¾Æ·ç                ,ÇÁ·Ñ·Î±×,1,2016.09.30,146466,9.88,(Âü¿© 794),670
202,Çª¸¥»ç¸· ¾Æ¾Æ·ç                ,.,2,2016.10.02,134784,9.91,(Âü¿© 730),603
203,Çª¸¥»ç¸· ¾Æ¾Æ·ç                ,.,3,2016.10.08,108531,9.90,(Âü¿© 704),580
204,Çª¸¥»ç¸· ¾Æ¾Æ·ç                ,.,4,2016.10.22,91933,9.91,(Âü¿© 696),576
205,Çª¸¥»ç¸· ¾Æ¾Æ·ç                ,.,5,2016.10.29,93531,9.90,(Âü¿© 639),519
206,½ºÄÚÄª ·Î¸Ç½º                ,¿¬Àç ÇùÀÇ °øÁö,1,2018.08.09,81832,9.64,(Âü¿© 270),153
207,½ºÄÚÄª ·Î¸Ç½º                ,¿¬Àç°øÁö,2,2019.03.21,66209,9.72,(Âü¿© 259),246
208,¾î±Û¸®ÈÄµå                ,01. ÀÇ½ÉÀº °¡Àå Å« ¸¶À½ÀÇ ÁË´Ù¡¡,1,2017.08.22,131509,9.82,(Âü¿© 771),365
209,¾î±Û¸®ÈÄµå                ,02. ¹ÌÁö¿ÍÀÇ Á¶¿ì,2,2017.08.28,85925,9.79,(Âü¿© 683),271
210,¾î±Û¸®ÈÄµå                ,03. ³Ê ¾ó±¼ ºÃ¾î,3,2017.09.04,68761,9.84,(Âü¿© 621),229
211,¾î±Û¸®ÈÄµå                ,04. ÆøÇ³ÀÇ ÀüÇÐ»ý,4,2017.09.11,61851,9.88,(Âü¿© 590),215
212,¾î±Û¸®ÈÄµå                ,05. Àú ¸ð½ÀÀÌ ¾îµôºÁ¼­ ¿Ü°èÀÎÀÌ´Ï,5,2017.09.18,60072,9.87,(Âü¿© 567),214
213,³ë°ïÇÏ°³                ,¸Û¸ÛÀÌ°¡ ¹º°¡ Àß¸øÇßÀ»¶§ °ø°¨,1,2017.01.20,119216,9.84,(Âü¿© 698),204
214,³ë°ïÇÏ°³                ,¸Û¸ÛÀÌ¿Í »êÃ¥ÇÒ ¶§ °ø°¨,2,2017.01.20,91665,9.89,(Âü¿© 689),190
215,³ë°ïÇÏ°³                ,¸Û¸ÛÀÌ ¾à ¸ÔÀÏ ¶§ °ø°¨,3,2017.01.26,85146,9.93,(Âü¿© 693),173
216,³ë°ïÇÏ°³                ,ÇªµéÀº ¹«½Ã¹«½ÃÇÏ´Ù,4,2017.01.29,79061,9.94,(Âü¿© 691),184
217,³ë°ïÇÏ°³                ,¸Û¸ÛÀÌ´Â ¿µ¾÷ÀÇ ½Å!,5,2017.02.14,72874,9.91,(Âü¿© 699),171
218,°«µµ·É½º                ,ÇÁ·Ñ·Î±×,1,2018.10.08,110826,9.87,(Âü¿© 674),322
219,°«µµ·É½º                ,°¨»çÇÕ´Ï´Ù,2,2018.12.04,68199,9.86,(Âü¿© 579),223
220,°«µµ·É½º                ,Á¤½Ä¿¬Àç°øÁö - °¨»çÇÕ´Ï´Ù,3,2019.08.08,25466,9.81,(Âü¿© 240),212
221,²¿¸ÍÀÌ¸¦ ºÎÅ¹ÇØ!                ,1È­ ÁÁ¾ÆÇÏ´Â »ç¶÷ÀÌ »ý°å¾î,1,2018.12.03,135927,9.84,(Âü¿© 1144),756
222,²¿¸ÍÀÌ¸¦ ºÎÅ¹ÇØ!                ,2È­ ÁÁÀº »ç¶÷ÀÎ°¡ º¸´Ù,2,2018.12.10,92169,9.88,(Âü¿© 1177),686
223,²¿¸ÍÀÌ¸¦ ºÎÅ¹ÇØ!                ,3È­ ½ÅÈ¯È¸ ³ª¿Ã °Å¾ß?,3,2018.12.17,82456,9.84,(Âü¿© 1074),613
224,²¿¸ÍÀÌ¸¦ ºÎÅ¹ÇØ!                ,4È­ Á¤¸» ¾îÁö°£È÷ ±ÞÇß³ª º¸±º,4,2018.12.24,77077,9.86,(Âü¿© 1051),583
225,²¿¸ÍÀÌ¸¦ ºÎÅ¹ÇØ!                ,5È­ ¹øÈ£ ¾Ë·ÁÁà,5,2018.12.31,73677,9.89,(Âü¿© 1070),573
226,¸ðÁÒÀÇ ÀÏÁö                ,01 »õÇØ¸¦ ¸ÂÀº ¸¸È­,1,2019.01.24,90691,9.77,(Âü¿© 487),353
227,¸ðÁÒÀÇ ÀÏÁö                ,02 ±âÅ¸ »ê ¸¸È­,2,2019.01.30,65417,9.81,(Âü¿© 421),235
228,¸ðÁÒÀÇ ÀÏÁö                ,03 ¿µÈ­ º£³ð º» ¸¸È­,3,2019.02.06,50845,9.90,(Âü¿© 382),191
229,¸ðÁÒÀÇ ÀÏÁö                ,04 °í¾çÀÌ º´¿ø µ¥·Á°£ ¸¸È­,4,2019.02.13,50272,9.85,(Âü¿© 376),180
230,¸ðÁÒÀÇ ÀÏÁö                ,05 ÅÐÀá¿Ê »ê ¸¸È­,5,2019.02.19,40266,9.77,(Âü¿© 229),150
231,"È¥¹ä, È¥¼ú, È¥ÀÚ »ç´Â ÀÌ¾ß±â                ",00. È¥ÀÚ »ì±â·Î °á½ÉÇÏ´Ù,1,2017.04.07,137345,9.90,(Âü¿© 856),228
232,"È¥¹ä, È¥¼ú, È¥ÀÚ »ç´Â ÀÌ¾ß±â                ",01. Ã¹°æÇè,2,2017.04.15,120201,9.90,(Âü¿© 825),205
233,"È¥¹ä, È¥¼ú, È¥ÀÚ »ç´Â ÀÌ¾ß±â                ",02. ¸ÕÁö°¡ ¹ºÁö,3,2017.04.23,95321,9.92,(Âü¿© 749),169
234,"È¥¹ä, È¥¼ú, È¥ÀÚ »ç´Â ÀÌ¾ß±â                ",03. °³¶û »ç´Â ÀÌ¾ß±â,4,2017.04.30,84732,9.93,(Âü¿© 849),184
235,"È¥¹ä, È¥¼ú, È¥ÀÚ »ç´Â ÀÌ¾ß±â                ",04. ÀÚÃëÇÏ¸é ÁÁÀºÁ¡,5,2017.05.07,83935,9.95,(Âü¿© 902),184
236,Å¾ÄÚ³Ê                ,Æ÷ÅÙ¾÷ °øÁö,1,2018.09.28,72799,8.53,(Âü¿© 222),67
237,Å¾ÄÚ³Ê                ,1È­. ±â´ë,2,2018.10.26,104548,8.36,(Âü¿© 347),103
238,Å¾ÄÚ³Ê                ,2È­. ¹ß°ß,3,2018.11.02,71759,8.53,(Âü¿© 293),77
239,Å¾ÄÚ³Ê                ,3È­. ¿¬½À°æ±â(1),4,2018.11.09,61083,8.64,(Âü¿© 294),64
240,Å¾ÄÚ³Ê                ,4È­. ¿¬½À°æ±â(2),5,2018.11.16,50686,9.00,(Âü¿© 300),64
241,¾ÇÃë                ,1È­,1,2018.10.10,156252,9.53,(Âü¿© 259),136
242,¾ÇÃë                ,2È­,2,2018.10.17,95964,9.38,(Âü¿© 117),60
243,¾ÇÃë                ,3È­,3,2018.10.24,43374,9.41,(Âü¿© 92),30
244,¾ÇÃë                ,4È­,4,2018.10.31,25221,9.26,(Âü¿© 78),29
245,¾ÇÃë                ,5È­,5,2018.11.21,20168,9.25,(Âü¿© 60),24
246,9µî±Þ µÚÁý±â                ,¿À¸®¿£Å×ÀÌ¼Ç,1,2019.01.17,123978,9.16,(Âü¿© 348),237
247,9µî±Þ µÚÁý±â                ,1°­. ÀÌÀÎ¹ü VS ¿À¸¸±³,2,2019.01.24,114697,9.04,(Âü¿© 259),158
248,9µî±Þ µÚÁý±â                ,2°­. ¸¸È­Ä«Æä ³ëº§,3,2019.01.31,64580,9.03,(Âü¿© 212),98
249,9µî±Þ µÚÁý±â                ,3°­. À±º½,4,2019.02.07,42560,8.93,(Âü¿© 180),100
250,9µî±Þ µÚÁý±â                ,4°­. ½Ã¸³µµ¼­°ü,5,2019.02.14,36228,8.66,(Âü¿© 162),73
251,ÆÇÅ¸Áö ¿©µ¿»ý!                ,1È­,1,2018.04.19,121919,9.15,(Âü¿© 248),163
252,ÆÇÅ¸Áö ¿©µ¿»ý!                ,2È­,2,2018.04.25,73788,9.20,(Âü¿© 177),100
253,ÆÇÅ¸Áö ¿©µ¿»ý!                ,3È­,3,2018.05.02,46421,9.06,(Âü¿© 161),87
254,ÆÇÅ¸Áö ¿©µ¿»ý!                ,4È­,4,2018.05.09,35182,9.02,(Âü¿© 138),61
255,ÆÇÅ¸Áö ¿©µ¿»ý!                ,5È­,5,2018.05.16,33571,9.20,(Âü¿© 123),69
256,½ÃÅ­»õÅ­                ,ÁË¼ÛÇÕ´Ï´Ù..,1,2012.08.14,53267,9.84,(Âü¿© 2657),167
257,±³È¯ÀÏ±â                ,¿¬ÀçÇùÀÇ °øÁö,1,2019.03.18,55019,9.66,(Âü¿© 151),143
258,±³È¯ÀÏ±â                ,¸¶Áö¸· °øÁö ÀÔ´Ï´Ù..,2,2019.06.01,50941,9.74,(Âü¿© 205),155
259,¶¥ º¸°í °È´Â ¾ÆÀÌ                ,ÇÁ·Ñ·Î±×,1,2017.03.10,80413,9.90,(Âü¿© 711),223
260,¶¥ º¸°í °È´Â ¾ÆÀÌ                ,¸ùÀ¯º´ <1>,2,2017.03.10,83854,9.88,(Âü¿© 611),207
261,¶¥ º¸°í °È´Â ¾ÆÀÌ                ,¸ùÀ¯º´ <2>,3,2017.03.17,65211,9.88,(Âü¿© 626),184
262,¶¥ º¸°í °È´Â ¾ÆÀÌ                ,"ÇÒ¾Æ¹öÁö, ÇÒ¸Ó´Ï <1>",4,2017.05.26,59694,9.89,(Âü¿© 656),197
263,¶¥ º¸°í °È´Â ¾ÆÀÌ                ,"ÇÒ¾Æ¹öÁö, ÇÒ¸Ó´Ï <2>",5,2017.06.16,55300,9.89,(Âü¿© 659),191
264,1ÀÎ¿ë ±âºÐ                ,#±×·± ±âºÐµé,1,2017.10.27,72047,9.88,(Âü¿© 1017),204
265,1ÀÎ¿ë ±âºÐ                ,#Á¦¸ñ,2,2017.11.04,53524,9.87,(Âü¿© 847),169
266,1ÀÎ¿ë ±âºÐ                ,#¼Ó¿ïÀ½,3,2017.11.13,47660,9.88,(Âü¿© 709),146
267,1ÀÎ¿ë ±âºÐ                ,¿¬Àç °øÁö,4,2017.12.24,36450,9.87,(Âü¿© 551),119
268,ÁÁ¾ÆÇÏ´ÂºÎºÐ                ,01,1,2017.04.04,83125,9.75,(Âü¿© 450),151
269,ÁÁ¾ÆÇÏ´ÂºÎºÐ                ,02,2,2017.04.18,52645,9.92,(Âü¿© 250),74
270,ÁÁ¾ÆÇÏ´ÂºÎºÐ                ,03,3,2017.05.02,40610,9.90,(Âü¿© 186),57
271,ÁÁ¾ÆÇÏ´ÂºÎºÐ                ,04,4,2017.05.12,35268,9.95,(Âü¿© 201),71
272,ÁÁ¾ÆÇÏ´ÂºÎºÐ                ,05,5,2017.05.23,47575,9.93,(Âü¿© 240),79
273,³» ·ë¸ÞÀÌÆ®´Â ¸¶³×Å·                ,1_,1,2019.09.07,102143,9.66,(Âü¿© 642),837
274,³» ·ë¸ÞÀÌÆ®´Â ¸¶³×Å·                ,2_,2,2019.09.14,83821,9.80,(Âü¿© 544),727
275,³» ·ë¸ÞÀÌÆ®´Â ¸¶³×Å·                ,3_,3,2019.09.21,73834,9.75,(Âü¿© 497),653
276,³» ·ë¸ÞÀÌÆ®´Â ¸¶³×Å·                ,4_,4,2019.09.28,69665,9.70,(Âü¿© 468),621
277,³» ·ë¸ÞÀÌÆ®´Â ¸¶³×Å·                ,5_,5,2019.10.14,66449,9.71,(Âü¿© 447),568
278,¸Ó¸®Ä«¶ôÀ» »ÌÀ¸¸é                ,ÇÁ·Ñ·Î±×,1,2018.10.17,80358,9.84,(Âü¿© 294),216
279,¸Ó¸®Ä«¶ôÀ» »ÌÀ¸¸é                ,1È­ - °³ÇÐ (1),2,2018.10.24,77605,9.84,(Âü¿© 231),164
280,¸Ó¸®Ä«¶ôÀ» »ÌÀ¸¸é                ,2È­ - °³ÇÐ (2),3,2018.10.31,51926,9.68,(Âü¿© 234),131
281,¸Ó¸®Ä«¶ôÀ» »ÌÀ¸¸é                ,3È­ - °³ÇÐ (3),4,2018.11.07,45514,9.79,(Âü¿© 216),126
282,¸Ó¸®Ä«¶ôÀ» »ÌÀ¸¸é                ,4È­ - °³ÇÐ (4),5,2018.11.14,43706,9.78,(Âü¿© 209),126
283,Å³¸µÅ¸ÀÓ                ,* Æ÷ÅÙ¾÷ °¨»ç °øÁö *,1,2019.01.04,51263,9.66,(Âü¿© 157),114
284,Å³¸µÅ¸ÀÓ                ,¿¹°íÆí,2,2019.01.30,58304,9.86,(Âü¿© 445),169
285,Å³¸µÅ¸ÀÓ                ,Á¦1È­ - ¸ØÃçÁø ½Ã°£,3,2019.02.06,47748,9.79,(Âü¿© 332),151
286,Å³¸µÅ¸ÀÓ                ,Á¦2È­ - ¿¬¶ô,4,2019.02.13,29634,9.91,(Âü¿© 399),124
287,Å³¸µÅ¸ÀÓ                ,Á¦3È­ - ¹Ù²ï °ú°Å,5,2019.02.20,27818,9.90,(Âü¿© 291),123
288,¿À´Ãµµ ÇÚµå¸ÞÀÌµå!                ,¿À´Ãµµ ÇÚµå¸ÞÀÌµå!,1,2016.04.05,70266,9.88,(Âü¿© 624),518
289,¿À´Ãµµ ÇÚµå¸ÞÀÌµå!                ,µå·Ð¿öÅ© ÀÚ¼ö ¼Õ¼ö°Ç Æí,2,2016.04.08,70905,9.87,(Âü¿© 578),419
290,¿À´Ãµµ ÇÚµå¸ÞÀÌµå!                ,Å©·Î¼Î¸¦ µ¡´í Ãµ ÄÉÀÌ½º Æí,3,2016.04.15,59450,9.88,(Âü¿© 571),429
291,¿À´Ãµµ ÇÚµå¸ÞÀÌµå!                ,Ãß¾ïÀÚÅõ¸®ÀÇ ¹«¸­´ã¿ä Æí,4,2016.04.22,53274,9.87,(Âü¿© 630),471
292,¿À´Ãµµ ÇÚµå¸ÞÀÌµå!                ,ÂÉÄÚ¸¦ ´àÀº ÂÉÄÚÀÎÇü Æí,5,2016.04.29,51874,9.87,(Âü¿© 636),474
293,Âü»õ´Â »õ½ÅºÎ!                ,1È­,1,2018.01.18,85840,9.82,(Âü¿© 358),149
294,Âü»õ´Â »õ½ÅºÎ!                ,2È­,2,2018.01.25,56621,9.80,(Âü¿© 265),124
295,Âü»õ´Â »õ½ÅºÎ!                ,3È­,3,2018.02.01,46269,9.81,(Âü¿© 236),118
296,Âü»õ´Â »õ½ÅºÎ!                ,4È­,4,2018.02.08,41502,9.77,(Âü¿© 213),99
297,Âü»õ´Â »õ½ÅºÎ!                ,5È­,5,2018.02.15,41404,9.66,(Âü¿© 239),104
298,º´                ,00_»ç¸· ÇÑ °¡¿îµ¥,1,2016.11.24,193911,9.70,(Âü¿© 407),193
299,º´                ,01_ÀÏÇÐ³â »ï¹Ý ¹®¼®È£,2,2016.11.25,168324,9.79,(Âü¿© 429),179
300,º´                ,02_¿ì¸®µé¸¸ÀÇ ¸®±×,3,2016.12.01,133853,9.80,(Âü¿© 361),146
301,º´                ,03_ÈäÅë,4,2016.12.03,121445,9.75,(Âü¿© 329),135
302,º´                ,04_³ó±¸,5,2016.12.04,101556,9.87,(Âü¿© 372),128
303,³ªÁÖ±ÝÀÔ´Ï´Ù(³Ê¿¡°Ô¸¸ º¸ÀÌ´Â)                ,¿¬Àç°øÁö,1,2019.08.26,47274,9.63,(Âü¿© 227),313
304,¹é¼ö¼¼³¢                ,ÇÁ·Ñ·Î±×,1,2019.04.21,69132,9.54,(Âü¿© 313),246
305,¹é¼ö¼¼³¢                ,1È­-Ä¡Å²,2,2019.05.01,61324,9.54,(Âü¿© 297),194
306,¹é¼ö¼¼³¢                ,2È­-¶ó¸é,3,2019.05.11,44825,9.52,(Âü¿© 256),165
307,¹é¼ö¼¼³¢                ,3È­-°öÃ¢,4,2019.05.21,45904,9.31,(Âü¿© 266),152
308,¹é¼ö¼¼³¢                ,º£µµ °¨»ç ÀÎ»ç,5,2019.06.01,41007,9.53,(Âü¿© 232),155
309,¿ì¸®Áý¿¡ °õÀÌ ÀÌ»ç¿Ô´Ù                ,"1È­. ¼ºÀº °õ, ÀÌ¸§Àº ÅäÅä",1,2016.03.25,81049,9.79,(Âü¿© 609),450
310,¿ì¸®Áý¿¡ °õÀÌ ÀÌ»ç¿Ô´Ù                ,2È­. ±× ¸¹´ø °³ÁýÀº ´Ù ¾îµð·Î °¬À»±î,2,2016.04.01,60151,9.86,(Âü¿© 595),428
311,¿ì¸®Áý¿¡ °õÀÌ ÀÌ»ç¿Ô´Ù                ,3È­. ¿ì¸®Áý¿¡ °õÀÌ ÀÌ»ç¿Ô´Ù,3,2016.04.08,54314,9.87,(Âü¿© 637),449
312,¿ì¸®Áý¿¡ °õÀÌ ÀÌ»ç¿Ô´Ù                ,4È­.,4,2016.04.28,50072,9.89,(Âü¿© 743),551
313,¿ì¸®Áý¿¡ °õÀÌ ÀÌ»ç¿Ô´Ù                ,5È­. °³°í»ýÀº °è¼Ó µÈ´Ù (»ó),5,2016.05.06,47226,9.88,(Âü¿© 654),503
314,Ç²³»±âµé                ,1È­,1,2020.03.13,107984,9.50,(Âü¿© 510),630
315,Ç²³»±âµé                ,2È­,2,2020.03.20,74172,9.43,(Âü¿© 351),461
316,Ç²³»±âµé                ,3È­,3,2020.03.27,48278,9.35,(Âü¿© 325),365
317,Ç²³»±âµé                ,4È­,4,2020.04.03,38509,9.29,(Âü¿© 328),344
318,Ç²³»±âµé                ,5È­,5,2020.04.10,34579,9.40,(Âü¿© 302),325
319,³õÁö¸¶Á¤½ÅÁÙ                ,³õÁö¸¶ Á¤½ÅÁÙ ÇÁ·Ñ·Î±×_Á¤½ÅÁÙÀÌ¶õ..,1,2009.05.08,171440,9.27,(Âü¿© 764),353
320,³õÁö¸¶Á¤½ÅÁÙ                ,³õÁö¸¶Á¤½ÅÁÙ01_±è¿¬¾ÆÀÇ ¿ì½Âºñ°á??,2,2009.05.08,168689,9.07,(Âü¿© 539),229
321,³õÁö¸¶Á¤½ÅÁÙ                ,³õÁö¸¶Á¤½ÅÁÙ02_³» ³ªÀÌ ¼­¸¥ µÑ,3,2009.05.15,144512,8.85,(Âü¿© 522),129
322,³õÁö¸¶Á¤½ÅÁÙ                ,³õÁö¸¶Á¤½ÅÁÙ03_»ç¶ûÀº,4,2009.05.19,77015,8.99,(Âü¿© 426),71
323,³õÁö¸¶Á¤½ÅÁÙ                ,³õÁö¸¶Á¤½ÅÁÙ04_Çì¾î½ºÅ¸ÀÏ,5,2009.05.22,42551,9.16,(Âü¿© 525),47
324,¿­·¾Àü»ç                ,ÇÁ·Ñ·Î±×,1,2015.08.24,59463,9.76,(Âü¿© 245),127
325,¿­·¾Àü»ç                ,1È­,2,2015.08.31,68597,9.66,(Âü¿© 259),98
326,¿­·¾Àü»ç                ,2È­,3,2015.09.07,44818,9.54,(Âü¿© 219),62
327,¿­·¾Àü»ç                ,3È­,4,2015.09.14,31161,9.76,(Âü¿© 194),59
328,¿­·¾Àü»ç                ,4È­,5,2015.09.21,26869,9.74,(Âü¿© 175),53
329,±Ýºû¾ÆÀÌ´Â »õº®À» ´Þ¸°´Ù                ,1È­,1,2019.11.02,87293,9.83,(Âü¿© 888),895
330,±Ýºû¾ÆÀÌ´Â »õº®À» ´Þ¸°´Ù                ,2È­,2,2019.11.09,58577,9.83,(Âü¿© 780),811
331,±Ýºû¾ÆÀÌ´Â »õº®À» ´Þ¸°´Ù                ,3È­,3,2019.11.16,51189,9.87,(Âü¿© 899),817
332,±Ýºû¾ÆÀÌ´Â »õº®À» ´Þ¸°´Ù                ,4È­,4,2019.11.23,44796,9.86,(Âü¿© 783),756
333,±Ýºû¾ÆÀÌ´Â »õº®À» ´Þ¸°´Ù                ,5È­,5,2019.11.30,42373,9.84,(Âü¿© 837),759
334,Çã´Ï¹ö´Ï                ,¿¬Àç °øÁö,1,2018.05.31,45597,9.87,(Âü¿© 422),146
335,Çã´Ï¹ö´Ï                ,Á¤½Ä ¿¬Àç °øÁö,2,2018.11.19,35822,9.77,(Âü¿© 216),101
336,À©ÅÍ¿ìÁî                ,¿¬Àç³¯Â¥°øÁö,1,2014.07.12,40611,9.86,(Âü¿© 1183),605
337,Ã¼Å©Æ÷ÀÎÆ®                ,ÁöÇÏµµ¹ÚÆí (1),1,2015.10.27,70638,9.68,(Âü¿© 250),110
338,Ã¼Å©Æ÷ÀÎÆ®                ,ÁöÇÏµµ¹ÚÆí (2),2,2015.11.20,42827,9.49,(Âü¿© 229),78
339,Ã¼Å©Æ÷ÀÎÆ®                ,ÁöÇÏµµ¹ÚÆí (3),3,2015.12.02,28878,9.65,(Âü¿© 180),51
340,Ã¼Å©Æ÷ÀÎÆ®                ,ÁöÇÏµµ¹ÚÆí (4),4,2015.12.12,27267,9.72,(Âü¿© 197),66
341,Ã¼Å©Æ÷ÀÎÆ®                ,ÁöÇÏµµ¹ÚÆí (5),5,2016.01.03,41454,9.75,(Âü¿© 213),99
342,Ç÷¾×Çü¿¡ °üÇÑ °£´ÜÇÑ °íÂû                ,ÀÌ»ç,1,2011.03.19,38661,9.69,(Âü¿© 4014),269
343,ÇÇ³ëÅ°¿ÀÀÇ ¼Ò³à                ,1È­.ÀÌ»óÇÑ ¸¶À»,1,2019.07.20,100002,9.45,(Âü¿© 280),336
344,ÇÇ³ëÅ°¿ÀÀÇ ¼Ò³à                ,2È­. ¿ø¸ÁÇÏ´Â »ç¶÷,2,2019.07.27,67413,9.51,(Âü¿© 204),257
345,ÇÇ³ëÅ°¿ÀÀÇ ¼Ò³à                ,3È­. ÀüÇÐ,3,2019.08.03,43893,9.61,(Âü¿© 184),219
346,ÇÇ³ëÅ°¿ÀÀÇ ¼Ò³à                ,4È­. °ÅÁþ¸»,4,2019.08.10,36871,9.75,(Âü¿© 228),240
347,ÇÇ³ëÅ°¿ÀÀÇ ¼Ò³à                ,5È­. ·¹¾ÆÀÇ ÀÌ¾ß±â(1),5,2019.08.17,35500,9.81,(Âü¿© 189),228
348,¿©Ä· Á¶¼öÈñ                ,1È­,1,2020.09.26,57650,9.28,(Âü¿© 326),292
349,¿©Ä· Á¶¼öÈñ                ,2È­,2,2020.10.05,41277,9.40,(Âü¿© 262),235
350,¿©Ä· Á¶¼öÈñ                ,3È­,3,2020.10.15,34970,9.58,(Âü¿© 214),204
351,¿©Ä· Á¶¼öÈñ                ,4È­,4,2020.10.26,32544,9.44,(Âü¿© 221),198
352,¿©Ä· Á¶¼öÈñ                ,5È­,5,2020.11.12,31676,9.71,(Âü¿© 251),211
353,¾î±Û¸® ÇÇÇÃÁî                ,1,1,2019.04.14,62574,7.94,(Âü¿© 413),151
354,¾î±Û¸® ÇÇÇÃÁî                ,2,2,2019.04.21,42958,8.43,(Âü¿© 334),131
355,¾î±Û¸® ÇÇÇÃÁî                ,3,3,2019.04.28,37460,8.58,(Âü¿© 320),114
356,¾î±Û¸® ÇÇÇÃÁî                ,4,4,2019.05.12,36532,8.84,(Âü¿© 301),128
357,¾î±Û¸® ÇÇÇÃÁî                ,5,5,2019.05.19,35648,8.55,(Âü¿© 273),113
358,¹æ¾ÈÀÇ ÄÚ³¢¸®                ,-,1,2018.01.24,63294,9.58,(Âü¿© 309),110
359,¹æ¾ÈÀÇ ÄÚ³¢¸®                ,-,2,2018.01.31,34450,9.79,(Âü¿© 261),91
360,¹æ¾ÈÀÇ ÄÚ³¢¸®                ,-,3,2018.02.07,24029,9.80,(Âü¿© 243),78
361,¹æ¾ÈÀÇ ÄÚ³¢¸®                ,-,4,2018.02.14,22027,9.75,(Âü¿© 240),83
362,¹æ¾ÈÀÇ ÄÚ³¢¸®                ,-,5,2018.02.23,21065,9.75,(Âü¿© 252),78
363,½Ä½ºÆ¾                ,°øÁö-º£µµ °¨»çÀÎ»ç,1,2017.10.31,27194,9.91,(Âü¿© 203),50
364,½Ä½ºÆ¾                ,°øÁö-¿¬ÀçÇùÀÇ,2,2017.11.10,26473,9.75,(Âü¿© 107),36
365,½Ä½ºÆ¾                ,±ÙÈ² ¾Ë¸²,3,2017.12.04,25633,9.81,(Âü¿© 94),34
366,½Ä½ºÆ¾                ,°øÁö-Á¤½Ä¿¬Àç,4,2018.03.27,51357,9.90,(Âü¿© 198),77
367,¼ö¿µ¸¸È­ÀÏ±â                ,1È­ È¯Àý±â,1,2018.11.22,83461,9.83,(Âü¿© 660),410
368,¼ö¿µ¸¸È­ÀÏ±â                ,2È­ ¼ö¿µÀå,2,2018.11.29,59051,9.83,(Âü¿© 524),302
369,¼ö¿µ¸¸È­ÀÏ±â                ,3È­ ÀÎ»ý»ç,3,2018.12.06,49071,9.85,(Âü¿© 538),277
370,¼ö¿µ¸¸È­ÀÏ±â                ,4È­ ¼ö°­½ÅÃ»,4,2018.12.13,44656,9.89,(Âü¿© 453),251
371,¼ö¿µ¸¸È­ÀÏ±â                ,5È­ ¼ö°­½ÅÃ» Àü¾ß,5,2018.12.20,42629,9.88,(Âü¿© 473),249
372,º®(·Î±×¾Æ¿ô)                ,1È­ ¿µ»ý (1),1,2019.05.27,57027,9.94,(Âü¿© 382),207
373,º®(·Î±×¾Æ¿ô)                ,2È­ ¿µ»ý (2),2,2019.06.03,46245,9.84,(Âü¿© 353),204
374,º®(·Î±×¾Æ¿ô)                ,3È­ °Ì (1),3,2019.06.10,40654,9.93,(Âü¿© 295),174
375,º®(·Î±×¾Æ¿ô)                ,4È­ °Ì (2),4,2019.06.17,35812,9.93,(Âü¿© 290),158
376,º®(·Î±×¾Æ¿ô)                ,5È­ °Ì (3),5,2019.06.24,36499,9.87,(Âü¿© 342),182
